,id,code,description,hasChildren,section,index,crawled,country,parent_id,error_message,selectable,intervalMin,intervalMax
4058,24084,842840,Escalators and moving walkways,False,,,,AT,3184,,True,,
4059,24284,842860,"Teleferics, chairlifts, ski-draglines; traction mechanisms for funiculars",False,,,,AT,3184,,True,,
4060,24384,842870,Industrial robots,False,,,,AT,3184,,True,,
4061,24484,842890,Other machinery,True,,,Done,AT,3184,,,,
4062,24584,,Bulldozers and angledozers,True,,,Done,AT,3284,,,8429110000,8429190000
4063,24684,842920,Graders and levellers,False,,,,AT,3284,,True,,
4064,24784,842930,Scrapers,False,,,,AT,3284,,True,,
4065,24884,842940,Tamping machines and roadrollers,True,,,Done,AT,3284,,,,
4066,24984,,"Mechanical shovels, excavators and shovel loaders",True,,,Done,AT,3284,,,8429510000,8429590000
4067,25084,843010,Piledrivers and pile extractors,False,,,,AT,3384,,True,,
4068,25184,843020,Snowploughs and snowblowers,False,,,,AT,3384,,True,,
4069,25284,,Coal or rock cutters and tunnelling machinery,True,,,Done,AT,3384,,,8430310000,8430390000
4070,25384,,Other boring or sinking machinery,True,,,Done,AT,3384,,,8430410000,8430490000
4071,25484,843050,"Other machinery, self-propelled",False,,,,AT,3384,,True,,
4072,25584,,"Other machinery, not self-propelled",True,,,Done,AT,3384,,,8430610000,8430690000
4073,25684,843110,Of machinery of heading 8425,False,,,,AT,3484,,True,,
4074,65684,843120,Of machinery of heading 8427,True,,,Done,AT,3484,,,,
4075,26084,,Of machinery of heading 8428,True,,,Done,AT,3484,,,8431310000,8431390000
4076,26184,,"Of machinery of heading 8426, 8429 or 8430",True,,,Done,AT,3484,,,8431410000,8431490000
4077,26284,843210,Ploughs,False,,,,AT,3584,,True,,
4078,26484,,"Harrows, scarifiers, cultivators, weeders and hoes",True,,,Done,AT,3584,,,8432210000,8432290000
4079,26684,,"Seeders, planters and transplanters",True,,,Done,AT,3584,,,8432310000,8432390000
4080,26884,,Manure spreaders and fertiliser distributors,True,,,Done,AT,3584,,,8432410000,8432420000
4081,26984,843280,Other machinery,False,,,,AT,3584,,True,,
4082,27084,843290,Parts,False,,,,AT,3584,,True,,
4083,27284,,"Mowers for lawns, parks or sports grounds",True,,,Done,AT,3684,,,8433110000,8433190000
4084,27384,843320,"Other mowers, including cutter bars for tractor mounting",True,,,Done,AT,3684,,,,
4085,27484,843330,Other haymaking machinery,False,,,,AT,3684,,True,,
4086,27684,843340,"Straw or fodder balers, including pick-up balers",False,,,,AT,3684,,True,,
4087,27884,,Other harvesting machinery; threshing machinery,True,,,Done,AT,3684,,,8433510000,8433590000
4088,27984,843360,"Machines for cleaning, sorting or grading eggs, fruit or other agricultural produce",False,,,,AT,3684,,True,,
4089,28184,843390,Parts,False,,,,AT,3684,,True,,
4090,28284,843410,Milking machines,False,,,,AT,3784,,True,,
4091,28384,843420,Dairy machinery,False,,,,AT,3784,,True,,
4092,28484,843490,Parts,False,,,,AT,3784,,True,,
4093,28584,843510,Machinery,False,,,,AT,3884,,True,,
4094,28784,843590,Parts,False,,,,AT,3884,,True,,
4095,28884,843610,Machinery for preparing animal feedingstuffs,False,,,,AT,3984,,True,,
4096,29084,,Poultry-keeping machinery; poultry incubators and brooders,True,,,Done,AT,3984,,,8436210000,8436290000
4097,66484,843680,Other machinery,True,,,Done,AT,3984,,,,
4098,29384,,Parts,True,,,Done,AT,3984,,,8436910000,8436990000
4099,29484,843710,"Machines for cleaning, sorting or grading seed, grain or dried leguminous vegetables",False,,,,AT,4084,,True,,
4100,29584,843780,Other machinery,False,,,,AT,4084,,True,,
4101,29684,843790,Parts,False,,,,AT,4084,,True,,
4102,29784,843810,"Bakery machinery and machinery for the manufacture of macaroni, spaghetti or similar products",True,,,Done,AT,4184,,,,
4103,29884,843820,"Machinery for the manufacture of confectionery, cocoa or chocolate",False,,,,AT,4184,,True,,
4104,29984,843830,Machinery for sugar manufacture,False,,,,AT,4184,,True,,
4105,30084,843840,Brewery machinery,False,,,,AT,4184,,True,,
4106,30184,843850,Machinery for the preparation of meat or poultry,False,,,,AT,4184,,True,,
4107,30284,843860,"Machinery for the preparation of fruits, nuts or vegetables",False,,,,AT,4184,,True,,
4108,30384,843880,Other machinery,True,,,Done,AT,4184,,,,
4109,66584,843890,Parts,False,,,,AT,4184,,True,,
4110,30784,843910,Machinery for making pulp of fibrous cellulosic material,False,,,,AT,4284,,True,,
4111,30884,843920,Machinery for making paper or paperboard,False,,,,AT,4284,,True,,
4112,30984,843930,Machinery for finishing paper or paperboard,False,,,,AT,4284,,True,,
4113,31084,,Parts,True,,,Done,AT,4284,,,8439910000,8439990000
4114,31184,844010,Machinery,True,,,Done,AT,4384,,,,
4115,31284,844090,Parts,False,,,,AT,4384,,True,,
