Unnamed: 0,id,code,description,hasChildren,section,index,crawled,country,parent_id,error_message,selectable,intervalMin,intervalMax,tariff_crawled,tariff_crawled_error_message
22926,147973,,Other,TRUE,,,Done,AT,104373,,,7307931130,7307931199,,
22927,148373,,For use in certain types of aircraft,TRUE,,,Done,AT,104473,,,7307931911,7307931919,,
22928,148473,,Other,TRUE,,,Done,AT,104473,,,7307931930,7307931999,,
22929,148773,7307939110,For use in certain types of aircraft,FALSE,,,,AT,104573,,TRUE,,,,
22930,148873,7307939190,Other,FALSE,,,,AT,104573,,TRUE,,,,
22931,148973,7307939910,For use in certain types of aircraft,FALSE,,,,AT,104673,,TRUE,,,,
22932,149073,7307939990,Other,FALSE,,,,AT,104673,,TRUE,,,,
22933,149673,,"With greatest external diameter not exceeding 609,6 mm",TRUE,,,Done,AT,105473,,,7307998011,7307998019,,
22934,149773,7307998020,Other,FALSE,,,,AT,105473,,TRUE,,,,
22935,149873,,"With greatest external diameter not exceeding 609,6 mm",TRUE,,,Done,AT,105573,,,7307998092,7307998098,,
22936,149973,7307998099,Other,FALSE,,,,AT,105573,,TRUE,,,,
22937,150573,7311001115,"Refillable high-pressure cylinders, of steel, of a capacity greater than 120 ml, of all diameters and volume capacities, whether or not threaded, whether filled with a porous mass or not, regardless of internal coating or plating, regardless of external finishing and shape, whether or not with a gas bladder inserted, regardless of the cylinders' fitting with a valve, neck ring, foot ring or piping, whether or not fastened together to form a bundle",FALSE,,,,AT,107073,,TRUE,,,,
22938,150673,7311001120,Other,FALSE,,,,AT,107073,,TRUE,,,,
22939,150773,7311001180,"Refillable high-pressure cylinders, of steel, of a capacity greater than 120 ml, of all diameters and volume capacities, whether or not threaded, whether filled with a porous mass or not, regardless of internal coating or plating, regardless of external finishing and shape, whether or not with a gas bladder inserted, regardless of the cylinders' fitting with a valve, neck ring, foot ring or piping, whether or not fastened together to form a bundle",FALSE,,,,AT,107173,,TRUE,,,,
22940,150873,7311001185,Other,FALSE,,,,AT,107173,,TRUE,,,,
22941,150973,7311001315,"Refillable high-pressure cylinders, of steel, of all diameters and volume capacities, whether or not threaded, whether filled with a porous mass or not, regardless of internal coating or plating, regardless of external finishing and shape, whether or not with a gas bladder inserted, regardless of the cylinders' fitting with a valve, neck ring, foot ring or piping, whether or not fastened together to form a bundle",FALSE,,,,AT,107473,,TRUE,,,,
22942,151073,7311001320,Other,FALSE,,,,AT,107473,,TRUE,,,,
22943,151173,7311001380,"Refillable high-pressure cylinders, of steel, of all diameters and volume capacities, whether or not threaded, whether filled with a porous mass or not, regardless of internal coating or plating, regardless of external finishing and shape, whether or not with a gas bladder inserted, regardless of the cylinders' fitting with a valve, neck ring, foot ring or piping, whether or not fastened together to form a bundle",FALSE,,,,AT,107573,,TRUE,,,,
22944,151273,7311001385,Other,FALSE,,,,AT,107573,,TRUE,,,,
22945,151373,7311001915,"Refillable high-pressure cylinders, of steel, of all diameters and volume capacities, whether or not threaded, whether filled with a porous mass or not, regardless of internal coating or plating, regardless of external finishing and shape, whether or not with a gas bladder inserted, regardless of the cylinders' fitting with a valve, neck ring, foot ring or piping, whether or not fastened together to form a bundle",FALSE,,,,AT,107873,,TRUE,,,,
22946,151473,7311001920,Other,FALSE,,,,AT,107873,,TRUE,,,,
22947,151573,7311001980,"Refillable high-pressure cylinders, of steel, of all diameters and volume capacities, whether or not threaded, whether filled with a porous mass or not, regardless of internal coating or plating, regardless of external finishing and shape, whether or not with a gas bladder inserted, regardless of the cylinders' fitting with a valve, neck ring, foot ring or piping, whether or not fastened together to form a bundle",FALSE,,,,AT,107973,,TRUE,,,,
22948,151673,7311001985,Other,FALSE,,,,AT,107973,,TRUE,,,,
22949,152373,73121061,Not coated,TRUE,,,Done,AT,109173,,,,,,
22950,152473,,Coated,TRUE,,,Done,AT,109173,,,7312106500,7312106900,,
22951,152673,,"Not coated or only plated or coated with zinc, with a maximum cross-sectional dimension",TRUE,,,Done,AT,109373,,,7312108100,7312108900,,
22952,152973,73121098,Other,TRUE,,,Done,AT,109373,,,,,,
22953,155273,7318149110,For use in certain types of aircraft,FALSE,,,,AT,112573,,TRUE,,,,
22954,155773,7318149190,Other,FALSE,,,,AT,112573,,TRUE,,,,
22955,156273,7318149910,For use in certain types of aircraft,FALSE,,,,AT,112673,,TRUE,,,,
22956,156873,7318149990,Other,FALSE,,,,AT,112673,,TRUE,,,,
22957,157473,73181535,Of stainless steel,TRUE,,,Done,AT,113173,,,,,,
22958,157573,,"Other, with a tensile strength",TRUE,,,Done,AT,113173,,,7318154200,7318154800,,
22959,157773,,Slotted or cross-recessed heads,TRUE,,,Done,AT,113273,,,7318155200,7318155800,,
22960,157873,,Hexagonal-socket heads,TRUE,,,Done,AT,113273,,,7318156200,7318156800,,
22961,157973,,Hexagonal heads,TRUE,,,Done,AT,113273,,,7318157500,7318158800,,
22962,158073,73181595,Other,TRUE,,,Done,AT,113273,,,,,,
22963,158773,7318163110,For use in  certain types of aircraft,FALSE,,,,AT,113673,,TRUE,,,,
22964,158873,7318163190,Other,FALSE,,,,AT,113673,,TRUE,,,,
22965,158973,7318163910,For use in  certain types of aircraft,FALSE,,,,AT,113773,,TRUE,,,,
22966,159073,7318163990,Other,FALSE,,,,AT,113773,,TRUE,,,,
22967,159173,7318164010,For use in  certain types of aircraft,FALSE,,,,AT,113873,,TRUE,,,,
22968,159273,7318164090,Other,FALSE,,,,AT,113873,,TRUE,,,,
22969,159473,7318166010,For use in certain types of aircraft,FALSE,,,,AT,114073,,TRUE,,,,
22970,159573,7318166090,Other,FALSE,,,,AT,114073,,TRUE,,,,
22971,159773,73181692,Not exceeding 12 mm,TRUE,,,Done,AT,114173,,,,,,
22972,159873,73181699,Exceeding 12 mm,TRUE,,,Done,AT,114173,,,,,,
22973,160073,7318210031,Consigned from Malaysia,FALSE,,,,AT,114673,,TRUE,,,,
22974,160273,7318210039,Other,FALSE,,,,AT,114673,,TRUE,,,,
22975,160473,7318210095,Consigned from Malaysia,FALSE,,,,AT,115073,,TRUE,,,,
22976,160673,7318210098,Other,FALSE,,,,AT,115073,,TRUE,,,,
22977,160873,7318220031,Consigned from Malaysia,FALSE,,,,AT,115673,,TRUE,,,,
22978,161073,7318220039,Other,FALSE,,,,AT,115673,,TRUE,,,,
22979,161273,7318220095,Consigned from Malaysia,FALSE,,,,AT,116073,,TRUE,,,,
22980,161473,7318220098,Other,FALSE,,,,AT,116073,,TRUE,,,,
22981,42576,,"Plates bearing a specific manufacture number, for use in certain types of aircraft",TRUE,,,Done,AT,31476,,,7606115025,7606115030,,
22982,42676,,Other,TRUE,,,Done,AT,31476,,,7606115086,7606115089,,
22983,42776,76061191,Less than 3 mm,TRUE,,,Done,AT,31676,,,,,,
22984,43376,76061193,Not less than 3 mm but less than 6 mm,TRUE,,,Done,AT,31676,,,,,,
22985,43976,76061199,Not less than 6 mm,TRUE,,,Done,AT,31676,,,,,,
22986,44976,,"Plates bearing a specific manufacture number, for use in certain types of aircraft",TRUE,,,Done,AT,32876,,,7606125023,7606125030,,
22987,45076,,Other,TRUE,,,Done,AT,32876,,,7606125085,7606125089,,
22988,45376,76061292,Less than 3 mm,TRUE,,,Done,AT,33176,,,,,,
22989,46276,76061293,Not less than 3 mm but less than 6 mm,TRUE,,,Done,AT,33176,,,,,,
22990,46676,76061299,Not less than 6 mm,TRUE,,,Done,AT,33176,,,,,,
22991,47076,7606920023,"Of a thickness of not less than 0,8 mm, for use in the manufacture of aircraft parts",FALSE,,,,AT,33876,,TRUE,,,,
22992,47176,7606920025,Other,FALSE,,,,AT,33876,,TRUE,,,,
22993,47276,7606920085,"For use as body panels in the car industry and of a thickness of not more than 6 mm or for use in the manufacture of aircraft parts and of a thickness of not less than 0,8 mm",FALSE,,,,AT,34176,,TRUE,,,,
